id_resultado,id_usuario,dispositivo,tiempo_segundos,completado,comentarios_usuario,propuestas_mejora,valoracion
4,6,Tableta,244.074,1,,,
5,7,Ordenador,181.236,1,,,
6,8,Teléfono,288.934,1,,,
7,9,Tableta,402.083,1,,,
8,10,Ordenador,161.079,1,,,
9,11,Teléfono,534.501,1,,,
10,12,Tableta,182.967,1,,,
